uniref90_cluster	length	percent_identity_to_query	evalue
UniRef90_UPI002DDB2C84	487	47.4	6.8e-130
UniRef90_UPI001FB68481	498	43.7	6.8e-130
UniRef90_A0A8C2MT53	481	44.2	7.9e-130
UniRef90_UPI003709A97B	484	47.1	8.7e-130
UniRef90_UPI00196667B2	434	47.7	1.4e-129
UniRef90_G3UNT0	481	46.4	1.6e-129
UniRef90_A0A1S3FG11	481	46.1	1.6e-129
UniRef90_UPI00234D2CE5	484	47.7	1.7e-129
UniRef90_UPI00210F7B54	476	46.5	1.9e-129
UniRef90_A0AA97JV92	483	48.2	2.4e-129
UniRef90_K7ZMF5	483	44.1	2.4e-129
UniRef90_UPI00355BF0F4	485	46.3	2.5e-129
UniRef90_UPI0023029357	476	46.6	2.7e-129
UniRef90_UPI001376BCFD	478	46.8	2.9e-129
UniRef90_UPI0035CC534E	492	42.8	3.2e-129
UniRef90_UPI003B5BD7D5	479	44.8	4.2e-129
UniRef90_UPI002541BB82	484	47.4	4.9e-129
UniRef90_A0AA88ME86	452	46.9	5e-129
UniRef90_UPI001964280D	576	47.9	5.4e-129
UniRef90_A0AAW1E1C1	488	42.9	5.6e-129
UniRef90_A0ACB8WW54	415	47.3	5.9e-129
UniRef90_A0A662YLH0	458	46.7	6e-129
UniRef90_UPI001FA8969F	481	45.1	6.3e-129
UniRef90_A0A8T1N4U2	453	47.7	7.3e-129
UniRef90_UPI003F59D631	481	44.9	9e-129
UniRef90_UPI0035B49481	473	44.7	9.8e-129
